OD_surface + CHD2OD_surface -> HDO_surface + CHD2O_surface
OD_surface + CHD2OH_surface -> HDO_surface + CHD2O_surface
OH_surface + CHD2OH_surface -> H2O_surface + CHD2O_surface
OH_surface + CD3OH_surface -> H2O_surface + CD3O_surface
OD_surface + CD3OH_surface -> HDO_surface + CD3O_surface
OH_surface + CD3OD_surface -> HDO_surface + CD3O_surface
OD_surface + CD3OD_surface -> D2O_surface + CD3O_surface
OH_surface + CH3CHO_surface -> H2O_surface + CH3CO_surface
OD_surface + CH3CHO_surface -> HDO_surface + CH3CO_surface
OH_surface + CH3CDO_surface -> HDO_surface + CH3CO_surface
OH_surface + CH3CDO_surface -> H2O_surface + CH2DCO_surface
OD_surface + CH3CDO_surface -> HDO_surface + CH2DCO_surface
OD_surface + CH3CDO_surface -> D2O_surface + CH3CO_surface
OH_surface + CH2DCHO_surface -> HDO_surface + CH3CO_surface
OH_surface + CH2DCHO_surface -> H2O_surface + CH2DCO_surface
OD_surface + CH2DCHO_surface -> HDO_surface + CH2DCO_surface
OD_surface + CH2DCHO_surface -> D2O_surface + CH3CO_surface
OH_surface + CH2DCDO_surface -> HDO_surface + CH2DCO_surface
OH_surface + CH2DCDO_surface -> D2O_surface + CH3CO_surface
OD_surface + CH2DCDO_surface -> D2O_surface + CH2DCO_surface
OH_surface + CHD2CHO_surface -> HDO_surface + CH2DCO_surface
OH_surface + CHD2CHO_surface -> D2O_surface + CH3CO_surface
OD_surface + CHD2CHO_surface -> D2O_surface + CH2DCO_surface
H_surface + HSO_surface -> OH_surface + HS_surface
D_surface + HSO_surface -> OD_surface + HS_surface
D_surface + HSO_surface -> OH_surface + DS_surface
H_surface + DSO_surface -> OD_surface + HS_surface
H_surface + DSO_surface -> OH_surface + DS_surface
D_surface + DSO_surface -> OD_surface + DS_surface
H_surface + HCO_surface -> H2_surface + CO_surface
H_surface + DCO_surface -> HD_surface + CO_surface
D_surface + HCO_surface -> HD_surface + CO_surface
D_surface + DCO_surface -> D2_surface + CO_surface
D_surface + OH_surface -> H_surface + OD_surface
OH_surface + CO_surface -> HOCO_surface
OH_surface + CO_surface -> HOCO_gas
OD_surface + CO_surface -> DOCO_surface
H_surface + HOCO_surface -> H2O_surface + CO_surface
D_surface + HOCO_surface -> HDO_surface + CO_surface
H_surface + DOCO_surface -> HDO_surface + CO_surface
D_surface + DOCO_surface -> D2O_surface + CO_surface
H_surface + HOCO_surface -> HCOOH_surface
H_surface + HOCO_surface -> HCOOH_gas
D_surface + HOCO_surface -> HCOOD_surface
D_surface + HOCO_surface -> DCOOH_surface
H_surface + DOCO_surface -> HCOOD_surface
H_surface + DOCO_surface -> DCOOH_surface
D_surface + DOCO_surface -> DCOOD_surface
H_surface + HOCO_surface -> H2_surface + CO2_surface
D_surface + HOCO_surface -> HD_surface + CO2_surface
H_surface + DOCO_surface -> HD_surface + CO2_surface
D_surface + DOCO_surface -> D2_surface + CO2_surface
N_surface + HOCO_surface -> OH_surface + OCN_surface
N_surface + DOCO_surface -> OD_surface + OCN_surface
N_surface + HOCO_surface -> NH_surface + CO2_surface
N_surface + DOCO_surface -> ND_surface + CO2_surface
O_surface + HOCO_surface -> OH_surface + CO2_surface
O_surface + DOCO_surface -> OD_surface + CO2_surface
H_surface + HCOOH_surface -> H2_surface + HOCO_surface
D_surface + HCOOH_surface -> HD_surface + HOCO_surface
D_surface + HCOOH_surface -> H2_surface + DOCO_surface
H_surface + HCOOD_surface -> HD_surface + HOCO_surface
H_surface + HCOOD_surface -> H2_surface + DOCO_surface
H_surface + DCOOH_surface -> H2_surface + DOCO_surface
H_surface + DCOOH_surface -> HD_surface + HOCO_surface
D_surface + DCOOH_surface -> HD_surface + DOCO_surface
D_surface + DCOOH_surface -> D2_surface + HOCO_surface
D_surface + HCOOD_surface -> HD_surface + DOCO_surface
D_surface + HCOOD_surface -> D2_surface + HOCO_surface
H_surface + DCOOD_surface -> HD_surface + DOCO_surface
H_surface + DCOOD_surface -> D2_surface + HOCO_surface
D_surface + DCOOD_surface -> D2_surface + DOCO_surface
C_surface + C_surface -> C2_surface
C_surface + C_surface -> C2_gas
C_surface + C2_surface -> C3_surface
C_surface + C2_surface -> C3_gas
C_surface + CCH_surface -> l_C3H_surface
C_surface + CCH_surface -> l_C3H_gas
C_surface + CCH_surface -> c_C3H_surface
C_surface + CCH_surface -> c_C3H_gas
C_surface + CCD_surface -> l_C3D_surface
C_surface + CCD_surface -> c_C3D_surface
C_surface + C2H3_surface -> C3H3_surface
C_surface + C2D3_surface -> C3D3_surface
C_surface + C2H2D_surface -> C3H2D_surface
C_surface + C2HD2_surface -> C3HD2_surface
C_surface + CCN_surface -> C3N_surface
C_surface + CCN_surface -> C3N_gas
C_surface + CCO_surface -> C3O_surface
C_surface + CCO_surface -> C3O_gas
C_surface + CCS_surface -> C3S_surface
C_surface + CCS_surface -> C3S_gas
C_surface + CH_surface -> CCH_surface
C_surface + CH_surface -> CCH_gas
C_surface + CD_surface -> CCD_surface
C_surface + CH2_surface -> C2H2_surface
C_surface + CH2_surface -> C2H2_gas
C_surface + CHD_surface -> C2HD_surface
C_surface + CD2_surface -> C2D2_surface
C_surface + CH3_surface -> C2H3_surface
C_surface + CH3_surface -> C2H3_gas
C_surface + CD3_surface -> C2D3_surface
C_surface + CH2D_surface -> C2H2D_surface
C_surface + CHD2_surface -> C2HD2_surface
C_surface + CN_surface -> CCN_surface
C_surface + CN_surface -> CCN_gas
C_surface + HS_surface -> H_surface + CS_surface
C_surface + DS_surface -> D_surface + CS_surface
C_surface + N_surface -> CN_surface
C_surface + N_surface -> CN_gas
C_surface + NH_surface -> HNC_surface
C_surface + NH_surface -> HNC_gas
C_surface + ND_surface -> DNC_surface
C_surface + NH2_surface -> H_surface + HNC_surface
C_surface + NHD_surface -> D_surface + HNC_surface
C_surface + NHD_surface -> H_surface + DNC_surface
C_surface + ND2_surface -> D_surface + DNC_surface
C_surface + NO_surface -> O_surface + CN_surface
C_surface + NO_surface -> OCN_surface
C_surface + NO_surface -> OCN_gas
C_surface + NS_surface -> CN_surface + S_surface
C_surface + O_surface -> CO_surface
C_surface + O_surface -> CO_gas
C_surface + O2_surface -> O_surface + CO_surface
C_surface + OCN_surface -> CN_surface + CO_surface
C_surface + OH_surface -> H_surface + CO_surface
C_surface + OD_surface -> D_surface + CO_surface
C_surface + S_surface -> CS_surface
C_surface + S_surface -> CS_gas
C_surface + SO_surface -> CO_surface + S_surface
CH_surface + C2_surface -> l_C3H_surface
CH_surface + C2_surface -> l_C3H_gas
CH_surface + C2_surface -> c_C3H_surface
CH_surface + C2_surface -> c_C3H_gas
CD_surface + C2_surface -> l_C3D_surface
CD_surface + C2_surface -> c_C3D_surface
CH_surface + CCH_surface -> l_C3H2_surface
CH_surface + CCH_surface -> l_C3H2_gas
CH_surface + CCH_surface -> c_C3H2_surface
CH_surface + CCH_surface -> c_C3H2_gas
CH_surface + CCD_surface -> l_C3HD_surface
CH_surface + CCD_surface -> c_C3HD_surface
CD_surface + CCH_surface -> l_C3HD_surface
CD_surface + CCH_surface -> c_C3HD_surface
CD_surface + CCD_surface -> l_C3D2_surface
CD_surface + CCD_surface -> c_C3D2_surface
CH_surface + C2H3_surface -> C3H4_surface
CH_surface + C2H3_surface -> C3H4_gas
CH_surface + C2H2D_surface -> C3H3D_surface
CH_surface + C2HD2_surface -> C3H2D2_surface
CD_surface + C2H3_surface -> C3H3D_surface
CD_surface + C2H2D_surface -> C3H2D2_surface
CH_surface + CH_surface -> C2H2_surface
CH_surface + CH_surface -> C2H2_gas
CH_surface + CD_surface -> C2HD_surface
CD_surface + CD_surface -> C2D2_surface
CH_surface + CH2_surface -> C2H3_surface
CH_surface + CH2_surface -> C2H3_gas
CH_surface + CHD_surface -> C2H2D_surface
CH_surface + CD2_surface -> C2HD2_surface
CD_surface + CH2_surface -> C2H2D_surface
CD_surface + CHD_surface -> C2HD2_surface
CD_surface + CD2_surface -> C2D3_surface
CH_surface + CH3_surface -> C2H4_surface
CH_surface + CH3_surface -> C2H4_gas
CH_surface + CD3_surface -> C2HD3_surface
CH_surface + CH2D_surface -> C2H3D_surface
CH_surface + CHD2_surface -> C2H2D2_surface
CD_surface + CH3_surface -> C2H3D_surface
CD_surface + CH2D_surface -> C2H2D2_surface
CD_surface + CHD2_surface -> C2HD3_surface
CH_surface + CN_surface -> HCCN_surface
CD_surface + CN_surface -> DCCN_surface
CH_surface + HNO_surface -> CH2_surface + NO_surface
CH_surface + DNO_surface -> CHD_surface + NO_surface
CD_surface + HNO_surface -> CHD_surface + NO_surface
CD_surface + DNO_surface -> CD2_surface + NO_surface
CH_surface + NH_surface -> H_surface + HCN_surface
CH_surface + ND_surface -> D_surface + HCN_surface
CH_surface + ND_surface -> H_surface + DCN_surface
CD_surface + NH_surface -> D_surface + HCN_surface
CD_surface + NH_surface -> H_surface + DCN_surface
CD_surface + ND_surface -> D_surface + DCN_surface
CH_surface + NH_surface -> H_surface + HNC_surface
CH_surface + ND_surface -> D_surface + HNC_surface
CH_surface + ND_surface -> H_surface + DNC_surface
CD_surface + NH_surface -> D_surface + HNC_surface
CD_surface + NH_surface -> H_surface + DNC_surface
CD_surface + ND_surface -> D_surface + DNC_surface
CH_surface + NH2_surface -> CH2NH_surface
CH_surface + NH2_surface -> CH2NH_gas
CH_surface + NHD_surface -> CHDNH_surface
CH_surface + NHD_surface -> CH2ND_surface
CH_surface + ND2_surface -> CD2NH_surface
CH_surface + ND2_surface -> CHDND_surface
CD_surface + NH2_surface -> CHDNH_surface
CD_surface + NH2_surface -> CH2ND_surface
CD_surface + NHD_surface -> CD2NH_surface
CD_surface + NHD_surface -> CHDND_surface
CD_surface + ND2_surface -> CD2ND_surface
CH_surface + NO_surface -> O_surface + HCN_surface
CD_surface + NO_surface -> O_surface + DCN_surface
CH_surface + O2_surface -> O_surface + HCO_surface
CD_surface + O2_surface -> O_surface + DCO_surface
CH2_surface + CH2_surface -> C2H4_surface
CH2_surface + CH2_surface -> C2H4_gas
CH2_surface + CHD_surface -> C2H3D_surface
CH2_surface + CD2_surface -> C2H2D2_surface
CHD_surface + CHD_surface -> C2H2D2_surface
CHD_surface + CD2_surface -> C2HD3_surface
CH2_surface + CH3_surface -> C2H5_surface
CH2_surface + CH3_surface -> C2H5_gas
CH2_surface + CD3_surface -> C2H2D3_surface
CH2_surface + CH2D_surface -> C2H4D_surface
CH2_surface + CHD2_surface -> C2H3D2_surface
CHD_surface + CH3_surface -> C2H4D_surface
CHD_surface + CH2D_surface -> C2H3D2_surface
CHD_surface + CHD2_surface -> C2H2D3_surface
CH3_surface + CD2_surface -> C2H3D2_surface
CD2_surface + CH2D_surface -> C2H2D3_surface
CH2_surface + HNO_surface -> CH3_surface + NO_surface
CH2_surface + DNO_surface -> CH2D_surface + NO_surface
CHD_surface + HNO_surface -> CH2D_surface + NO_surface
CHD_surface + DNO_surface -> CHD2_surface + NO_surface
